title,intro,poster,pubdate,url,rating,star,star_time,tag,comment
这么多年,八月长安 / 2021 / 江苏凤凰文艺出版社,https://img2.doubanio.com/view/subject/l/public/s33962561.jpg,2021-8,https://book.douban.com/subject/35546311/,6.7,2,2021-09-08 04:19:23,青春文学,2021.08.16 八月长安《这么多年》🌟🌟从13年萌芽连载到现在，二熊的这本书确实是应了它的名字。可是见夏和李燃如何在多年重逢后再度相爱，读完整本书后我始终不明白。还是让一切都停在七年之前吧。振华中学，毕业快乐。
长夜难明,紫金陈 / 2017 / 云南人民出版社,https://img9.doubanio.com/view/subject/l/public/s29179365.jpg,2017-1,https://book.douban.com/subject/26923390/,8.6,5,2020-06-20 09:34:44,网络小说,2020.06.20 紫金陈《长夜难明》🌟🌟🌟🌟🌟伟大的普通人，在黑暗中传递火种，守护光明。
坏小孩,紫金陈 / 2018 / 湖南文艺出版社,https://img3.doubanio.com/view/subject/s/public/s29793550.jpg,2018-7,https://book.douban.com/subject/25955474/,7.3,4,2020-06-20 09:33:36,网络小说,2020.06.20 紫金陈《坏小孩》🌟🌟🌟🌟有时候非常反感媒体对于罪犯过往的挖掘，好像在试图justify他们的行为。可是读这本书之后，也许对于动机的了解，可以给预防未成年人犯罪来带一点点启示。
日日之食：家常菜的小秘密,陈宇慧@田螺姑娘 / 2017 / 机械工业出版社,https://img3.doubanio.com/view/subject/s/public/s29469930.jpg,2017-6,https://book.douban.com/subject/27037179/,8.4,3,2019-04-18 22:14:24,关于吃的一切,2019.04.18 陈宇慧《日日之食》🌟🌟🌟非常讲究的一本食谱书。不仅仅是关于食材处理本身，还谈及到煮饭流程。做饭也要有思考xD
独立日：日出之食,陈宇慧@田螺姑娘 / 2016 / 生活•读书•新知三联书店 生活书店出版有限公司,https://img1.doubanio.com/view/subject/s/public/s28805007.jpg,2016-7,https://book.douban.com/subject/26814859/,7.5,3,2019-04-18 22:12:49,关于吃的一切,2019.04.18 陈宇慧《日出之食》🌟🌟🌟拯救了我的中国胃！
命运,[韩] 文在寅 / 2017 / 江苏凤凰文艺出版社,https://img1.doubanio.com/view/subject/s/public/s29642817.jpg,2017-12,https://book.douban.com/subject/27607225/,8.4,3,2019-03-23 15:51:54,传记,2019.03.23 文在寅《命运》🌟🌟🌟平实的记叙，流畅的文笔，深沉的感情。
夏日终年,张牧笛 / 2008 / 新蕾出版社,https://img1.doubanio.com/view/subject/s/public/s3443798.jpg,2008-9,https://book.douban.com/subject/3135990/,8.0,3,2019-03-08 18:20:04,儿童文学,2019.03.08 张牧笛《夏日终年》🌟🌟🌟2011年念高一时的自己在扉页这样写道——“读着终于到手的《夏日终年》已是初中毕业一年之后，牧笛足够幸运，有着可以一遍遍翻看的回忆，我也沉浸在她的快乐中，回想着自己的初三，仿佛又是去年夏天，一切静静上演。” 致中学时代最快乐的时光：）
失踪的孩子,[意] 埃莱娜·费兰特 / 2018 / 人民文学出版社,https://img1.doubanio.com/view/subject/s/public/s29799269.jpg,2018-7,https://book.douban.com/subject/30172069/,9.2,4,2019-02-27 17:48:59,外国文学,2019.02.27 Elena Ferrante 《失踪的孩子》🌟🌟🌟🌟字里行间，Elena对自己非常诚实。 
离开的，留下的,[意] 埃莱娜·费兰特 / 2017 / 人民文学出版社,https://img2.doubanio.com/view/subject/s/public/s29535271.jpg,2017-10,https://book.douban.com/subject/27104959/,8.9,4,2019-02-28 13:25:32,外国文学,2019.02.28 Elena Ferrante 《离开的，留下的》🌟🌟🌟🌟真实到难以面对，却可以如此动人。
新名字的故事,[意] 埃莱娜·费兰特 / 2017 / 人民文学出版社,https://img9.doubanio.com/view/subject/s/public/s29376146.jpg,2017-4,https://book.douban.com/subject/26986954/,9.2,4,2019-02-26 00:38:59,外国文学,2019.02.26 Elena Ferrante 《新名字的故事》🌟🌟🌟🌟切勿回望。
我的天才女友,[意] 埃莱娜·费兰特 / 2017 / 人民文学出版社,https://img1.doubanio.com/view/subject/s/public/s29164777.jpg,2017-1,https://book.douban.com/subject/26878124/,8.7,4,2019-02-25 00:08:01,外国文学,2019.02.25 Elena Ferrante 《我的天才女友》🌟🌟🌟🌟写得真好，像是亲眼看到青春时期这两个女生的成长。
异见时刻,[美] 伊琳·卡蒙（Irin Carmon） [美] 莎娜·卡尼兹尼克（Shana Knizhnik） / 2018 / 湖南文艺出版社,https://img2.doubanio.com/view/subject/s/public/s33748133.jpg,2018-9,https://book.douban.com/subject/30258976/,8.4,5,2019-06-02 19:06:33,传记,2019.06.02 Irin Carmon & Shana Knizhnik《异见时刻》🌟🌟🌟🌟🌟紧紧围绕RBG做律师期间辩护和做法官期间处理的有关性别偏见的案件展开，讲述她的家庭、学业和事业，与纪录片形成很好的照应。RBG真是一位充满智慧和魅力的女性，她和马丁神仙眷侣的感情也让人羡慕。
微小的命运,李静睿 / 2016 / 鹭江出版社,https://img1.doubanio.com/view/subject/s/public/s28835377.jpg,2016-7,https://book.douban.com/subject/26823537/,7.6,3,2019-04-22 19:38:36,青春文学,2019.04.22 李静睿《微小的命运》🌟🌟🌟太多琐碎的细节描写。无论选择什么样的方向，有一个能说服自己的理由就很难得。世界太大，错过也太容易了。
小世界,张悦悦 / 2017 / 生活·读书·新知三联书店,https://img9.doubanio.com/view/subject/s/public/s29424485.jpg,2017-4,https://book.douban.com/subject/27015787/,8.3,3,2019-06-02 19:07:25,专栏文合辑,2019.06.02 张悦悦《小世界》🌟🌟🌟有趣精彩的欧洲校园观察笔记。
儿童法案,[英] 伊恩·麦克尤恩 / 2017 / 上海译文出版社,https://img2.doubanio.com/view/subject/s/public/s29350972.jpg,2017-3,https://book.douban.com/subject/26878908/,7.9,4,2019-01-20 21:49:28,外国文学,2019.01.20 Ian McEwan 《儿童法案》🌟🌟🌟🌟熟悉的街道；亚当案中精彩的判决；被援引的法官。
小灵通漫游未来,叶永烈 著 杜建国 插图 / 1978 / 少年儿童出版社,https://img2.doubanio.com/view/subject/s/public/s3210632.jpg,1978-8,https://book.douban.com/subject/1933479/,9.0,5,2018-12-26 17:19:06,儿童文学,2018.12.26 叶永烈《小灵通漫游未来》🌟🌟🌟🌟🌟童年时爱不释手的书，关于未来我有无尽畅想。2020年5月15日，叶永烈老先生与世长辞，一路走好。
乌丢丢的奇遇,金波 / 2007 / 江苏少年儿童出版社,https://img2.doubanio.com/view/subject/s/public/s2585342.jpg,2007-1,https://book.douban.com/subject/1965310/,8.0,5,2018-12-26 17:17:39,儿童文学,2018.12.26 金波 《乌丢丢的奇遇》🌟🌟🌟🌟🌟这是一本即使念到高中也依然喜欢读的童话。
看不见的城市,[意大利]伊塔洛·卡尔维诺 / 2006 / 译林出版社,https://img3.doubanio.com/view/subject/s/public/s1804710.jpg,2006-8,https://book.douban.com/subject/1863930/,8.8,5,2018-07-02 11:22:49,卡尔维诺,2018.07.02 Italo Calvino 《看不见的城市》🌟🌟🌟🌟🌟非常喜欢这本书。“记忆中的形象一旦被词语固定住，就会在现实中被抹掉。”
