title,intro,url,rating,star,star_time,comment,
陪你逐风飞翔,2021 / 中国大陆 / 剧情 爱情 运动 / 沙维琪 李才 Cai Li / 宋祖儿 王安宇,https://movie.douban.com/subject/35203355/,5.8,2,2021.12.10 《陪你逐风飞翔》🌟🌟 王安宇宋祖鹅好甜好甜🥰喜欢于冰凌x李密 坦荡对手 一路好友 人设都很好磕！（但剧情实在狗血 编剧有毒🙄️,,
爱很美味,2021 / 中国大陆 / 剧情 喜剧 爱情 / 陈正道 许肇任 / 李纯 张含韵,https://movie.douban.com/subject/35297263/,8.2,4,2021.12.20 《爱很美味》🌟🌟🌟🌟三个女孩子的成长，事业、家庭、爱情，当故事的时间轴足够长，没有结尾的结尾也可以很美丽。,,
八角亭谜雾,2021 / 中国大陆 / 犯罪 悬疑 家庭 / 王小帅 花箐 / 段奕宏 郝蕾,https://movie.douban.com/subject/35307435/,5.7,2,2021.10.24 《八角亭迷雾》🌟🌟悬疑探案❌ 神神叨叨家长里短✅,,
怒火·重案,2021 / 中国香港 中国大陆 / 动作 犯罪 / 陈木胜 / 甄子丹 谢霆锋,https://movie.douban.com/subject/30174085/,7.2,3,2021.10.09 《怒火·重案》🌟🌟🌟小谢☺️☺️☺️,,
鱿鱼游戏,2021 / 韩国 / 悬疑 惊悚 / 黄东赫 / 李政宰 朴海秀,https://movie.douban.com/subject/34812928/,7.6,3,2021.10.08 《鱿鱼游戏》🌟🌟🌟本以为输掉游戏只是被淘汰而已，没想到真的会被结束生命，第一集中的“放弃身体同意书”情节原来用在这里。每一次男主质问主办方时，总会被反问“你不是自愿回到这里的吗？”不禁想起游戏中断后选择放弃再次进入游戏而是面对现实生活的十几个人，他们还是依旧挣扎吗？,,
失控玩家,2021 / 美国 加拿大 / 喜剧 动作 科幻 / 肖恩·利维 / 瑞安·雷诺兹 朱迪·科默,https://movie.douban.com/subject/30337388/,7.5,4,"2021.10.03 《失控玩家》🌟🌟🌟🌟""We are friends.""  ""Friendship.""  Isn't that what they all say?🤣🤣🤣",,
傲骨之战 第三季,2019 / 美国 / 剧情 喜剧 / 罗伯特·金 弗雷德·托耶 布鲁克·肯尼迪 尼尔森·麦科米克 吉姆·麦凯 Tess Malone Félix Enríquez Alcalá / 克里斯汀·芭伦斯基 库什·珍宝,https://movie.douban.com/subject/34955892/,8.4,5,2019.09.29 《傲骨之战第三季》🌟🌟🌟🌟🌟豆瓣条目一度被删，终于回来啦。超爱Lucca！,,
摩登情爱 第二季,2021 / 美国 / 喜剧 爱情 / 约翰·卡尼 杰西·派瑞兹 玛尔塔·坎宁安 瑟琳·赫德 罗根·乔治 约翰·克劳利 安德鲁·兰内斯 / 明妮·德里弗 唐·威彻利,https://movie.douban.com/subject/34869760/,8.1,4,2021.09.06 《摩登情爱第二季》🌟🌟🌟🌟 遇见之外，学会成长，学会告别。,,
你是我的荣耀,2021 / 中国大陆 / 爱情 / 王之 / 迪丽热巴 杨洋,https://movie.douban.com/subject/33454980/,6.8,3,2021.08.17 《你是我的荣耀》🌟🌟🌟小甜剧。“你已经是看过最多星星的一只兔子啦”,,
傲骨之战 第五季,2021 / 美国 / 剧情 犯罪 / 布鲁克·肯尼迪 吉姆·麦凯 罗伯特·金 卡丽·普雷斯顿 / 克里斯汀·芭伦斯基 德尔罗伊·林多,https://movie.douban.com/subject/35069434/,9.4,5,2021.08.27 《傲骨之战》🌟🌟🌟🌟🌟很多个高光时刻：冲击国会大厦、COVID、远程办公、RBG去世、Diane深夜与想象中的RBG对谈、Zoom Meeting的猫猫头滤镜；以及贯穿全局的九又四分之三法庭和效仿它的community courts。荒诞又真实，神奇2020。,,
